,time,gain,t0_vol_ratio,symbol
581,2025-04-19 01:15:00+00:00,176.97201017811705,5.794871724078268,MAGICUSDT
995,2025-04-18 16:00:00+00:00,176.49769585253458,9.07790843422219,NKNUSDT
1870,2025-07-16 23:45:00+00:00,176.20889748549322,6.122107480865404,EPICUSDT
2362,2025-10-10 21:15:00+00:00,176.07361963190183,8.707736430482594,OMUSDT
2886,2025-10-10 21:15:00+00:00,176.02905569007262,22.49740851461105,APEUSDT
2843,2025-08-10 17:30:00+00:00,176.02278612118073,13.243230532885443,CYBERUSDT
2844,2025-08-10 17:45:00+00:00,176.02278612118073,18.0481365144036,CYBERUSDT
1583,2025-09-18 23:45:00+00:00,175.66012686236908,8.500920182673301,TUTUSDT
1106,2025-05-30 00:45:00+00:00,175.46047582501922,13.869453661306421,LPTUSDT
2568,2026-01-24 00:15:00+00:00,174.72527472527472,6.020566019137799,NOMUSDT
1704,2025-08-09 19:45:00+00:00,174.55765710799267,16.455238606531417,GMXUSDT
2567,2026-01-24 00:00:00+00:00,174.34842249657066,9.114033015282352,NOMUSDT
381,2025-03-09 09:15:00+00:00,173.58490566037736,23.912355853176123,RAREUSDT
1570,2025-11-07 16:30:00+00:00,173.394495412844,10.743083527025671,PYRUSDT
990,2025-04-18 04:30:00+00:00,173.0337078651685,6.110608352487661,NKNUSDT
1469,2026-01-17 20:00:00+00:00,172.6446280991736,5.841962732246097,DUSKUSDT
2569,2026-01-24 00:30:00+00:00,172.47956403269754,16.197848596030575,NOMUSDT
1193,2025-10-10 21:15:00+00:00,172.23230490018145,14.52387510965965,BELUSDT
438,2025-09-05 03:45:00+00:00,171.7515414478191,6.013473859582956,REDUSDT
3043,2025-11-20 06:45:00+00:00,171.41133896260556,5.87653214822215,DYMUSDT
1569,2025-11-07 16:15:00+00:00,171.40255009107466,14.757772863029766,PYRUSDT
2623,2025-09-15 15:00:00+00:00,171.27461910070605,7.4015564234459,TSTUSDT
2403,2025-04-15 04:15:00+00:00,171.25307125307128,19.544910835881513,ARDRUSDT
2404,2025-04-15 04:30:00+00:00,170.74437391806114,20.67129774400868,ARDRUSDT
1036,2025-12-04 16:15:00+00:00,170.53419530452535,7.679443344677755,LUNCUSDT
1581,2025-09-18 08:30:00+00:00,170.43415340086833,5.261910799350227,TUTUSDT
1571,2025-11-07 16:45:00+00:00,170.41742286751358,8.000630284420879,PYRUSDT
1335,2025-12-31 19:30:00+00:00,170.27027027027026,13.671970048788241,BROCCOLI714USDT
2407,2025-04-15 09:15:00+00:00,170.12089810017272,6.652745773223647,ARDRUSDT
582,2025-04-19 02:00:00+00:00,170.09925558312653,6.718699827619346,MAGICUSDT
1035,2025-12-04 16:00:00+00:00,169.98302207130732,9.230670811306188,LUNCUSDT
676,2025-11-07 10:15:00+00:00,169.91150442477877,17.67017097297504,FLUXUSDT
800,2025-11-06 17:00:00+00:00,169.9048913043478,7.710522860007853,FILUSDT
2355,2025-04-13 20:00:00+00:00,169.3658536585366,8.684869158191098,OMUSDT
1637,2025-07-21 06:00:00+00:00,169.22894065782077,5.4946943729811615,SPKUSDT
434,2025-09-03 23:00:00+00:00,168.74435411020775,5.441311824737275,REDUSDT
801,2025-11-06 17:15:00+00:00,168.62745098039213,5.4025337192618705,FILUSDT
386,2025-03-09 11:00:00+00:00,168.5185185185185,10.725235310694382,RAREUSDT
848,2026-01-08 11:15:00+00:00,168.5,8.077917940812632,BIFIUSDT
1572,2025-11-07 17:00:00+00:00,168.46846846846844,10.844689700505965,PYRUSDT
1584,2025-09-19 02:15:00+00:00,168.4528085045252,20.01987137076048,TUTUSDT
1574,2025-11-07 17:30:00+00:00,167.98561151079133,11.189864005501928,PYRUSDT
439,2025-09-05 04:00:00+00:00,167.89734353894642,6.249060878800874,REDUSDT
1470,2026-01-18 09:00:00+00:00,167.55879967558803,7.325537563411996,DUSKUSDT
728,2026-01-01 14:30:00+00:00,167.16141001855286,5.533729741282377,A2ZUSDT
677,2025-11-07 10:30:00+00:00,167.07530647985988,12.042715141576167,FLUXUSDT
1573,2025-11-07 17:15:00+00:00,167.02508960573473,15.227673376390918,PYRUSDT
2570,2026-01-24 01:45:00+00:00,167.02269692923898,5.137159508058523,NOMUSDT
1199,2025-10-15 07:15:00+00:00,166.88411358403684,5.017188587545754,BELUSDT
355,2025-10-10 21:15:00+00:00,166.44136532612367,18.002636177544538,FTTUSDT
1585,2025-09-19 02:30:00+00:00,166.23450633993446,6.52568622374008,TUTUSDT
678,2025-11-07 10:45:00+00:00,166.1431064572426,5.954174548298333,FLUXUSDT
