symbol,date,tier,category,score,max_gain
1INCHUSDT,2025-08-28,B+,NINJA,79,2.6792750197005333
1INCHUSDT,2025-08-29,B+,NINJA,71,6.6284779050736375
1INCHUSDT,2025-08-31,B+,NINJA,61,8.715406856670782
1INCHUSDT,2025-09-02,B+,NINJA,60,11.401716387413163
1INCHUSDT,2025-09-03,B+,NINJA,75,12.057877813504824
1INCHUSDT,2025-09-06,B+,NINJA,74,14.028629856850717
1INCHUSDT,2025-09-09,B+,TREND,84,9.677419354838722
1INCHUSDT,2025-09-13,B+,TREND,92,0.0730460189919846
1INCHUSDT,2025-09-17,B+,NINJA,56,2.2480329711502156
1INCHUSDT,2025-09-18,B+,TREND,87,0.9626064420585001
1INCHUSDT,2025-09-21,B+,NINJA,41,3.949447077409163
1INCHUSDT,2025-09-27,B+,NINJA,59,16.097352690008538
1INCHUSDT,2025-09-30,B+,TREND,87,6.210937499999991
1INCHUSDT,2025-10-01,B+,TREND,83,3.3840304182509273
1INCHUSDT,2025-10-02,B+,TREND,89,1.3049962714392294
1INCHUSDT,2025-10-05,B+,NINJA,44,5.734485467399852
1INCHUSDT,2025-10-07,B+,NINJA,47,5.360662199448174
1INCHUSDT,2025-10-09,B+,NINJA,43,1.712465153325371
1INCHUSDT,2025-10-10,B+,NINJA,54,9.37834941050375
1INCHUSDT,2025-10-15,B+,NINJA,54,2.1995708154506355
1INCHUSDT,2025-10-19,B+,NINJA,58,6.979405034324926
1INCHUSDT,2025-10-20,B+,NINJA,66,5.115233277121978
1INCHUSDT,2025-10-23,B+,NINJA,47,7.656879677605066
1INCHUSDT,2025-10-30,B+,NINJA,48,44.06991260923845
1INCHUSDT,2025-11-01,B+,NINJA,72,35.20796719390744
1INCHUSDT,2025-11-06,B+,NINJA,67,20.452155625657188
1INCHUSDT,2025-11-07,B+,TREND,83,8.321513002364078
1INCHUSDT,2025-11-10,B+,TREND,71,1.250558284948644
1INCHUSDT,2025-11-11,B+,NINJA,51,8.672219500244971
1INCHUSDT,2025-11-13,B+,NINJA,39,6.83632734530939
1INCHUSDT,2025-11-15,B+,NINJA,40,8.960763520678693
1INCHUSDT,2025-11-16,B+,NINJA,45,9.95184590690208
1INCHUSDT,2025-11-23,B+,NINJA,68,15.800984144341168
1INCHUSDT,2025-12-03,B+,TREND,84,0.6572295247724957
1INCHUSDT,2025-12-07,B+,NINJA,60,5.207166853303469
1INCHUSDT,2025-12-10,B+,NINJA,54,3.4542314335060498
1INCHUSDT,2025-12-12,B+,NINJA,55,4.781341107871717
1INCHUSDT,2025-12-13,B+,NINJA,62,0.1138952164009055
1INCHUSDT,2025-12-20,B+,NINJA,63,0.31766200762388674
1INCHUSDT,2025-12-25,B+,NINJA,41,9.631147540983598
1INCHUSDT,2025-12-28,B+,NINJA,55,12.747102931152
1MBABYDOGEUSDT,2025-05-09,B-,TREND,93,34.09728148238449
1MBABYDOGEUSDT,2025-10-03,B-,TREND,97,6.496946508718993
AAVEUSDT,2025-02-20,B,NINJA,69,2.9967850581751554
AAVEUSDT,2025-02-21,B,NINJA,68,4.659970360612564
AAVEUSDT,2025-02-23,B,NINJA,55,0.6701655228098513
AAVEUSDT,2025-03-28,B,NINJA,62,2.718534948529827
AAVEUSDT,2025-03-29,B,NINJA,47,1.9684805233422642
AAVEUSDT,2025-04-23,B,TREND,98,7.70786249553943
AAVEUSDT,2025-05-31,B,NINJA,51,28.60900886316726
AAVEUSDT,2025-06-07,B,NINJA,66,26.402268489745182
AAVEUSDT,2025-06-08,B,NINJA,64,28.21513002364067
AAVEUSDT,2025-06-10,B,TREND,86,5.53609651683209
AAVEUSDT,2025-07-26,B,NINJA,73,4.774176047741752
AAVEUSDT,2025-07-28,B,NINJA,74,2.294435215946833
AAVEUSDT,2025-08-13,B,TREND,90,16.209543880776778
AAVEUSDT,2025-08-27,B,NINJA,56,3.4931229142625364
AAVEUSDT,2025-08-29,B,NINJA,49,3.9567669172932307
AAVEUSDT,2025-08-30,B,NINJA,64,3.8949247002097787
AAVEUSDT,2025-08-31,B,NINJA,75,5.112610472298762
AAVEUSDT,2025-09-04,B,NINJA,71,4.987929797090085
AAVEUSDT,2025-09-07,B,NINJA,53,6.721713755139924
AAVEUSDT,2025-09-08,B,NINJA,67,6.24257229631584
AAVEUSDT,2025-09-15,B,NINJA,45,4.566713436226366
AAVEUSDT,2025-09-17,B,NINJA,58,2.294192620673874
AAVEUSDT,2025-09-21,B,NINJA,41,0.5305761512822249
AAVEUSDT,2025-10-30,B,NINJA,49,10.193362461652878
AAVEUSDT,2025-11-01,B,NINJA,65,6.328489415141725
AAVEUSDT,2025-12-07,B,NINJA,67,10.467658507972066
AAVEUSDT,2025-12-08,B,NINJA,75,8.166248955722622
AAVEUSDT,2025-12-12,B,NINJA,72,5.916170168286805
AAVEUSDT,2025-12-14,B,NINJA,49,4.316241582268399
AAVEUSDT,2025-12-16,B,NINJA,48,3.7800687285223233
AAVEUSDT,2025-12-17,B,NINJA,53,4.216900938941048
ACHUSDT,2025-02-23,B-,NINJA,39,7.638888888888884
ACHUSDT,2025-03-01,B-,NINJA,67,5.695142378559459
ACHUSDT,2025-03-03,B-,NINJA,56,3.7429111531190884
ACHUSDT,2025-03-06,B-,NINJA,60,6.881107491856686
ACHUSDT,2025-03-08,B-,NINJA,62,1.128577186618318
ACHUSDT,2025-03-25,B-,NINJA,66,0.03665689149559004
ACHUSDT,2025-03-26,B-,NINJA,55,1.8273716951788588
ACHUSDT,2025-03-28,B-,NINJA,37,1.1021619330224608
ACHUSDT,2025-04-29,B-,NINJA,58,11.156870086110061
ACHUSDT,2025-05-01,B-,NINJA,77,11.039194534340169
ACHUSDT,2025-05-02,B-,NINJA,75,15.22542498152253
ACHUSDT,2025-06-03,B-,NINJA,70,1.5996343692870285
ACHUSDT,2025-06-16,B-,NINJA,60,5.399792315680152
